id,idx,tm_1DUJ,tm_1S2H,rmsd_1DUJ,rmsd_1S2H,lddt_1DUJ,lddt_1S2H,mean_plddt
Mad2_060,060,0.7278039993332078,0.6138597945493067,8.52833366394043,15.764196395874023,0.3838238813113185,0.5137181738366988,61.4
Mad2_061,061,0.7516443131383064,0.6111241855093472,6.788848400115967,15.011109352111816,0.3617857142857143,0.5227272727272727,58.92
Mad2_062,062,0.6748694941398579,0.5957976166822614,11.859686851501465,16.04701805114746,0.3674605074198181,0.5258678611422172,61.33
Mad2_063,063,0.42714550345460517,0.3792915183665774,15.346450805664062,18.86944580078125,0.3220851475568457,0.4586294980008885,57.68
Mad2_064,064,0.6923132848194369,0.6066470970146557,9.791604995727539,15.337118148803711,0.37385597302504814,0.5325917686318131,63.56
Mad2_065,065,0.7204569827698817,0.5923174698594944,10.317401885986328,16.360218048095703,0.36801242236024845,0.5242557883131201,61.45
Mad2_066,066,0.47259866621144475,0.4154867666738614,14.470725059509277,18.45284652709961,0.32310924369747895,0.4364973262032086,54.69
Mad2_067,067,0.6877052925687861,0.6065362811179567,11.502985954284668,16.57363510131836,0.3674287766339478,0.5192642577274706,64.0
Mad2_068,068,0.7179844226017139,0.6127423961148425,9.316645622253418,14.495697975158691,0.37939971070395373,0.5427429947460596,69.82
Mad2_069,069,0.6872585755947062,0.6063999111842396,10.075101852416992,15.101752281188965,0.3766455387615797,0.519155206286837,58.87
Mad2_070,070,0.7306836444453528,0.6161117424040169,10.662374496459961,16.41023826599121,0.36575178997613367,0.5259796492747348,63.31
Mad2_071,071,0.68320371923219,0.6085823034265717,11.222529411315918,15.720077514648438,0.3620263591433278,0.5227615965480044,63.6
Mad2_072,072,0.44212756607913245,0.413594555562547,12.902047157287598,16.66556739807129,0.346661281637049,0.49403281949278965,48.23
Mad2_073,073,0.4544347309373838,0.39141298182461604,15.496689796447754,19.072948455810547,0.3343317358892439,0.474150756260848,50.5
Mad2_074,074,0.4224493723306184,0.39221161643571917,16.400928497314453,20.029600143432617,0.3318659658344284,0.43502120229483665,43.71
Mad2_075,075,0.7204074919558552,0.6061351909405612,10.59246826171875,16.626842498779297,0.36478176995418377,0.5095040419488748,61.04
Mad2_076,076,0.6950202938580282,0.5935435784268315,11.517276763916016,16.73643684387207,0.37243383626020277,0.5180770985401459,58.8
Mad2_077,077,0.6614986114486433,0.5988619106164951,10.358107566833496,14.222892761230469,0.361357276119403,0.48990323937736646,64.67
Mad2_078,078,0.45473998029953583,0.3894461463879421,16.591455459594727,19.785741806030273,0.3426712692511949,0.4883165829145729,50.19
Mad2_079,079,0.7070218023840765,0.603537674678037,6.572826385498047,15.078191757202148,0.3860266398592611,0.5665832005463237,59.84
Mad2_080,080,0.5089984283073886,0.40617416617673713,14.306282043457031,19.247020721435547,0.34351094697968876,0.4725937425364223,52.05
Mad2_081,081,0.5945688933848476,0.7684707195106022,10.60354232788086,7.2690019607543945,0.339426523297491,0.6744826067811537,75.31
Mad2_082,082,0.5613469169592137,0.4466713036250912,10.863527297973633,15.238776206970215,0.347307384697414,0.5055568833652008,53.55
Mad2_083,083,0.7630017509918465,0.6054594583352869,5.148026466369629,15.027852058410645,0.3769658843455117,0.5227122745270567,59.65
Mad2_084,084,0.4867425911392514,0.4766377170700109,11.801238059997559,14.638923645019531,0.3681080324657151,0.5111690743713215,38.68
Mad2_085,085,0.4473398958534269,0.4078406594667849,16.014097213745117,19.048460006713867,0.33745019920318725,0.4855008787346221,50.82
Mad2_086,086,0.702799706327816,0.6009381460091314,10.73207950592041,16.33431053161621,0.37054860442733395,0.5362286228622862,68.63
Mad2_087,087,0.7692939520744718,0.580196253582272,8.772366523742676,15.472087860107422,0.3580290262172285,0.5188517566409597,66.5
Mad2_088,088,0.3686066546793592,0.361258648160885,15.630651473999023,20.348466873168945,0.2893238002908386,0.3752837040399455,51.15
